City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
coquimbo,-29.95,-71.34,16.0,59,4,1.0,CL,1592428552
saint george,37.1,-113.58,31.11,19,1,3.1,US,1592428394
avera,33.19,-82.53,24.0,57,90,3.1,US,1592428552
kiomboi,-4.27,34.37,16.21,50,0,4.06,TZ,1592428552
serenje,-13.23,30.24,12.6,64,79,2.65,ZM,1592428553
tasiilaq,65.61,-37.64,3.0,86,100,11.8,GL,1592428553
mehamn,71.04,27.85,7.0,75,9,3.6,NO,1592428553
namibe,-15.2,12.15,21.59,67,0,2.54,AO,1592428553
banda aceh,5.56,95.32,27.21,77,94,1.97,ID,1592428553
walvis bay,-22.96,14.51,23.33,20,0,5.7,NA,1592428554
beringovskiy,63.05,179.32,10.14,59,0,1.26,RU,1592428554
provo,40.23,-111.66,17.22,36,40,3.6,US,1592428503
severo-kurilsk,50.68,156.12,6.55,88,100,2.84,RU,1592428554
termiz,37.22,67.28,22.0,35,1,4.1,UZ,1592428554
gold coast,-28.0,153.43,16.67,77,4,3.6,AU,1592428554
salekhard,66.53,66.6,1.83,86,20,3.81,RU,1592428554
sorland,67.67,12.69,10.56,77,0,9.16,NO,1592428554
flin flon,54.77,-101.86,7.0,93,90,5.7,CA,1592428555
roma,43.21,-75.46,29.0,25,1,2.1,US,1592428555
karratha,-20.74,116.85,19.83,64,0,2.25,AU,1592428499
khomeyn,33.64,50.08,21.62,22,0,0.16,IR,1592428555
itapirapua,-15.82,-50.61,24.38,53,0,3.43,BR,1592428555
samoylovka,51.18,43.71,18.89,69,0,1.79,RU,1592428555
salinopolis,-0.61,-47.36,27.17,83,6,5.15,BR,1592428555
dubti,11.74,41.09,34.54,23,100,3.26,ET,1592428555
port blair,11.67,92.75,28.3,81,100,5.42,IN,1592428555
cherskiy,68.75,161.3,24.47,30,29,1.66,RU,1592428556
olafsvik,64.89,-23.71,9.08,79,100,4.08,IS,1592428556
socorro,31.65,-106.3,36.11,17,40,3.6,US,1592428556
brewster,41.4,-73.62,27.78,47,1,4.1,US,1592428556
pucallpa,-8.38,-74.55,32.0,55,40,0.5,PE,1592428556
opuwo,-18.06,13.84,14.16,43,0,3.28,NA,1592428556
ahipara,-35.17,173.17,15.7,90,88,4.35,NZ,1592428556
saint-augustin,51.23,-58.65,15.23,74,100,7.22,CA,1592428375
kindu,-2.95,25.95,20.26,60,4,0.82,CD,1592428557
avarua,-21.21,-159.78,23.0,64,91,4.6,CK,1592428557
husavik,66.04,-17.34,11.0,76,22,4.1,IS,1592428393
port-gentil,-0.72,8.78,24.0,88,75,4.6,GA,1592428557
hamilton,39.18,-84.53,28.33,39,1,4.6,US,1592428557
san patricio,19.22,-104.7,31.0,74,20,5.1,MX,1592428554
kaniama,-7.57,24.18,16.86,45,9,2.15,CD,1592428557
yulara,-25.24,130.99,6.0,48,0,2.6,AU,1592428557
bueu,42.32,-8.79,16.11,82,5,3.1,ES,1592428558
chapleau,47.84,-83.4,30.0,23,5,5.1,CA,1592428558
cap-chat,49.1,-66.68,21.12,54,100,5.3,CA,1592428558
punta alta,-38.88,-62.07,11.57,95,100,3.96,AR,1592428424
selenginsk,52.01,106.86,8.0,81,45,1.0,RU,1592428558
nome,64.5,-165.41,19.0,52,40,3.6,US,1592428558
bani walid,31.76,13.99,25.48,32,0,4.7,LY,1592428558
carnarvon,-24.87,113.63,20.0,100,75,2.1,AU,1592428263
kazachinskoye,57.7,93.28,7.75,80,0,2.03,RU,1592428559
jibuti,11.5,42.5,31.81,30,100,1.31,DJ,1592428559
micheweni,-4.97,39.83,25.87,73,96,7.76,TZ,1592428559
buzmeyin,38.05,58.21,29.0,20,20,3.1,TM,1592428559
lasa,46.62,10.7,8.0,87,75,3.6,IT,1592428559
los aquijes,-14.1,-75.69,22.0,64,0,11.3,PE,1592428559
katherine,-14.47,132.27,19.0,82,15,2.1,AU,1592428559
tuktoyaktuk,69.45,-133.04,7.0,93,40,5.7,CA,1592428559
tahta,26.77,31.5,35.0,13,0,4.6,EG,1592428560
kantunilkin,21.09,-87.45,30.56,74,75,2.6,MX,1592428560
port elizabeth,-33.92,25.57,10.0,93,0,1.0,ZA,1592428560
pisco,-13.7,-76.22,22.0,64,0,11.3,PE,1592428560
alice springs,-23.7,133.88,1.0,55,0,1.0,AU,1592428386
axim,4.87,-2.24,25.38,87,93,5.5,GH,1592428560
aksehir,38.36,31.42,17.03,54,8,2.85,TR,1592428560
sinnamary,5.38,-52.95,27.48,80,89,2.43,GF,1592428553
east london,-33.02,27.91,16.43,73,1,6.01,ZA,1592428557
ambilobe,-13.2,49.05,17.37,70,13,1.79,MG,1592428561
batemans bay,-35.72,150.18,8.33,94,70,1.86,AU,1592428561
ambato,-1.25,-78.62,21.0,52,75,4.1,EC,1592428341
sisimiut,66.94,-53.67,3.13,79,83,4.82,GL,1592428561
tiznit,29.58,-9.5,19.82,55,4,2.06,MA,1592428561
balkanabat,39.51,54.37,30.29,13,0,9.26,TM,1592428561
pemberton,50.32,-122.8,19.0,52,20,2.1,CA,1592428562
lansing,42.73,-84.56,28.0,34,1,2.53,US,1592428282
saint-pierre,-21.34,55.48,18.0,88,75,5.1,RE,1592428562
plettenberg bay,-34.05,23.37,16.38,40,0,3.13,ZA,1592428562
abu samrah,35.3,37.18,23.73,42,0,5.62,SY,1592428562
baoro,5.67,15.97,20.12,95,53,0.65,CF,1592428266
upernavik,72.79,-56.15,1.79,86,0,2.14,GL,1592428562
kijang,35.24,129.21,18.0,88,90,2.6,KR,1592428535
mount isa,-20.73,139.5,17.0,51,0,2.1,AU,1592428563
olavarria,-36.89,-60.32,20.0,88,90,2.6,AR,1592428429
esperance,-33.87,121.9,13.0,87,75,5.7,AU,1592428563
salalah,17.02,54.09,30.0,79,98,1.5,OM,1592428549
omsukchan,62.53,155.8,12.6,62,72,1.59,RU,1592428563
tadine,-21.55,167.88,22.69,76,64,5.17,NC,1592428563
vanavara,60.34,102.28,8.52,73,93,0.9,RU,1592428563
laguna,38.42,-121.42,30.0,20,5,7.7,US,1592428564
maraa,-1.83,-65.37,26.07,92,81,0.78,BR,1592428265
beloha,-25.17,45.05,17.5,79,48,5.55,MG,1592428564
mumford,5.26,-0.76,25.46,88,97,7.2,GH,1592428564
yanji,42.91,129.51,14.79,91,73,0.56,CN,1592428564
thunder bay,48.4,-89.32,28.0,39,40,6.2,CA,1592428434
batagay,67.63,134.63,22.57,38,2,2.03,RU,1592428564
papetoai,-17.5,-149.87,28.0,74,75,3.6,PF,1592428564
iquique,-20.22,-70.14,18.0,68,58,9.3,CL,1592428564
kiruna,67.86,20.23,18.0,31,62,1.5,SE,1592428565
pedro ii,-4.42,-41.46,22.9,74,0,2.32,BR,1592428342
la ronge,55.1,-105.28,10.0,71,90,6.2,CA,1592428565
ribeira grande,38.52,-28.7,19.0,77,75,2.6,PT,1592428565
havelock,34.88,-76.9,25.0,65,90,6.2,US,1592428565
edd,13.93,41.69,31.24,63,37,2.43,ER,1592428564
eyl,7.98,49.82,28.35,63,64,12.4,SO,1592428565
hargeysa,9.56,44.06,22.22,62,96,10.21,SO,1592428565
los zacatones,22.95,-102.05,26.0,29,40,3.1,MX,1592428565
okato,-39.2,173.88,14.44,90,100,1.34,NZ,1592428566
vazante,-17.99,-46.91,19.84,69,39,2.04,BR,1592428566
pho chai,16.33,103.77,24.45,88,100,4.75,TH,1592428566
ostrovnoy,68.05,39.51,5.0,76,0,1.91,RU,1592428566
marrakesh,31.63,-8.01,27.0,36,41,2.1,MA,1592428304
labuhan,-6.88,112.21,24.93,88,20,3.29,ID,1592428566
hsinchu,24.8,120.97,27.0,88,20,2.6,TW,1592428566
korop,51.57,32.96,19.29,92,52,4.01,UA,1592428566
auki,-8.77,160.7,26.73,80,65,1.87,SB,1592428566
sobolevo,54.43,31.9,17.02,87,0,2.73,RU,1592428567
yerbogachen,61.28,108.01,10.41,69,0,1.07,RU,1592428567
banjar,-8.19,114.97,24.64,79,4,1.83,ID,1592428567
canutama,-6.53,-64.38,30.43,59,68,0.89,BR,1592428567
nalhati,24.3,87.82,27.85,81,87,4.18,IN,1592428567
idrinskoye,54.37,92.14,10.64,79,1,1.2,RU,1592428568
sangerhausen,51.47,11.3,20.56,74,100,2.45,DE,1592428568
saldanha,-33.01,17.94,14.0,50,22,1.0,ZA,1592428568
quzhou,28.96,118.87,25.46,80,99,1.97,CN,1592428568
muros,42.78,-9.06,14.44,83,26,0.45,ES,1592428568
tanout,14.97,8.89,35.3,10,4,4.39,NE,1592428568
souillac,-20.52,57.52,20.0,94,75,8.2,MU,1592428569
kudahuvadhoo,2.67,72.89,28.6,78,65,3.48,MV,1592428569
sibiti,-3.68,13.35,19.81,95,100,0.68,CG,1592428569
pangoa,-12.12,-73.0,27.0,59,56,1.31,PE,1592428569
marsaxlokk,35.84,14.54,21.67,68,0,2.6,MT,1592428569
ciudad bolivar,8.12,-63.55,32.12,54,88,3.73,VE,1592428569
chuy,-33.7,-53.46,19.44,80,100,4.25,UY,1592428569
tortoli,39.93,9.66,21.0,77,0,3.1,IT,1592428569
mildura,-34.2,142.15,9.0,93,75,4.18,AU,1592428570
coihaique,-45.58,-72.07,6.0,93,75,2.1,CL,1592428554
baherden,38.44,57.43,28.72,14,0,3.53,TM,1592428570
victoria,22.29,114.16,28.89,74,11,4.02,HK,1592428503
andenes,69.31,16.12,10.0,81,0,3.1,NO,1592428570
grand gaube,-20.01,57.66,20.56,89,45,4.47,MU,1592428570
luzhou,28.87,105.44,21.77,87,100,1.38,CN,1592428570
abatskoye,56.29,70.46,10.02,92,56,4.84,RU,1592428570
whitehorse,60.72,-135.05,16.0,44,20,7.7,CA,1592428388
tinguindin,19.75,-102.48,26.0,54,40,6.2,MX,1592428571
gazanjyk,39.24,55.52,28.99,13,0,8.34,TM,1592428571
lensk,60.73,114.93,11.44,83,100,1.54,RU,1592428571
port hawkesbury,45.62,-61.35,26.11,47,1,5.1,CA,1592428497
oyama,36.3,139.8,23.33,93,75,1.5,JP,1592428571
bantul,-7.89,110.33,24.5,89,23,2.2,ID,1592428571
rio grande,-32.03,-52.1,22.0,78,95,4.6,BR,1592428324
mount gambier,-37.83,140.77,7.0,87,84,3.6,AU,1592428571
umm lajj,25.02,37.27,27.3,55,0,1.63,SA,1592428572
hit,33.64,42.83,31.74,17,0,6.6,IQ,1592428572
egvekinot,66.32,-179.17,13.87,42,70,0.88,RU,1592428572
tura,25.52,90.22,23.85,98,100,2.91,IN,1592428572
roald,62.58,6.13,16.67,77,53,4.6,NO,1592428572
turayf,31.67,38.66,27.0,24,0,4.1,SA,1592428572
aasiaat,68.71,-52.87,2.11,85,22,3.28,GL,1592428572
waiouru,-39.48,175.67,8.32,80,100,2.25,NZ,1592428572
la palma,33.85,-118.05,24.44,56,90,3.6,US,1592428309
jining,35.41,116.58,18.36,90,100,3.27,CN,1592428573
adrar,20.5,-10.07,37.54,15,0,7.77,MR,1592428573
el alto,-4.27,-81.21,20.28,75,12,6.29,PE,1592428573
newcastle,-32.93,151.78,16.11,63,90,5.7,AU,1592428279
roi et,16.06,103.65,24.32,88,100,5.4,TH,1592428573
doembang nangbuat,14.83,100.1,25.56,96,100,4.23,TH,1592428573
menongue,-14.66,17.69,11.08,62,0,2.04,AO,1592428574
lompoc,34.64,-120.46,22.22,56,3,6.7,US,1592428574
waddan,29.16,16.14,26.88,21,0,6.58,LY,1592428574
atar,20.52,-13.05,37.37,17,0,6.15,MR,1592428574
mehran,33.12,46.16,22.0,24,0,6.21,IR,1592428574
otradnoye,59.78,30.82,21.0,73,20,4.0,RU,1592428574
kaputa,-8.47,29.66,17.92,54,0,2.16,ZM,1592428574
belmonte,-15.86,-38.88,24.0,64,75,3.6,BR,1592428574
fatehpur,25.93,80.8,31.32,62,89,1.38,IN,1592428575
clyde river,70.47,-68.59,2.0,80,90,2.1,CA,1592428575
zamora,-4.07,-78.96,29.0,37,20,7.7,EC,1592428575
elko,41.0,-115.5,17.78,30,2,5.81,US,1592428575
port arthur,38.8,121.27,22.0,78,100,7.0,CN,1592428575
tongliao,43.61,122.27,17.79,62,81,3.06,CN,1592428575
bilibino,68.05,166.44,23.09,29,96,1.99,RU,1592428555
bendigo,-36.77,144.28,2.78,55,5,2.5,AU,1592428575
neiafu,-18.65,-173.98,25.0,61,20,5.1,TO,1592428575
pekan nenas,1.51,103.51,25.0,94,20,0.89,MY,1592428576
mamallapuram,12.63,80.17,31.0,58,40,2.6,IN,1592428576
sabha,27.04,14.43,26.74,15,0,3.33,LY,1592428576
jalu,29.03,21.55,23.46,45,0,6.42,LY,1592428576
macultepec,18.17,-92.83,32.0,73,40,4.1,MX,1592428576
sa kaeo,13.81,102.07,23.32,94,100,2.79,TH,1592428576
lengshuijiang,27.69,111.43,23.96,88,100,0.91,CN,1592428576
stornoway,58.21,-6.39,13.33,93,59,2.1,GB,1592428576
fort smith,35.39,-94.4,33.33,46,20,2.6,US,1592428383
colares,38.8,-9.45,17.78,72,20,4.6,PT,1592428576
gasa,31.5,34.47,22.78,49,0,0.89,PS,1592428577
asau,46.43,26.4,15.0,94,98,1.08,RO,1592428577
